station_id,name,lat,lng,address,operator_id,location
BNBN0183,"보령 충남교육청 해양수련원",36.31941950,126.51236480,"충남 보령시 대천항로 240 (신흑동, 충청남도교육청해양수련원)",BN,...
BNBN0185,"충남 계룡 종합사회복지관",36.27320770,127.23276690,"충남 계룡시 엄사면 문화1로 7 (유동리, 계룡시 종합사회복지관)",BN,...
BNBN0188,"논산 쌘뽈여자고등학교",36.20054160,127.08550480,"충남 논산시 시민로 411 (부창동, 쌘뽈여중고등학교)",BN,...
BNBN0190,"보령 보령교육지원청",36.35600850,126.58726250,"충남 보령시 보령북로 169 (대천동, 충청남도보령교육지원청)",BN,...
BNBN0192,"울산 북구 현대제철",35.53055400,129.39053300,"울산광역시 북구 염포로 706",BN,...
BNBN0194,"천안 오성고등학교",36.84137610,127.14250150,"충남 천안시 서북구 과수원길 27 (성성동, 천안오성고등학교)",BN,...
BNBN0195,"충북 옥천 옥천농협",36.32569130,127.53207120,"충청북도 옥천군 옥천읍 삼금로 21",BN,...
BNBN0198,"충남 천안 신당고등학교",36.85146890,127.15949940,"충남 천안시 서북구 신당새터2길 36 (신당동, 천안신당고등학교)",BN,...
BNBN0199,"충남 홍성 홍성교육지원청",36.59702270,126.67175130,"충남 홍성군 홍성읍 고암리 541-2",BN,...
BNBN0201,"양산 덕계시장 공영주차장",35.36979320,129.14712560,"경남 양산시 덕계동 754-1",BN,...
BNBN0202,"ETRI 부설국가보안기술연구소",36.40723000,127.38693500,"대전광역시 유성구 유성대로 1559",BN,...
BNBN0203,"경북 청도 범곡리 공영주차장",35.64686750,128.73289450,"경북 청도군 화양읍 범곡리 551",BN,...
BNBN0204,"전남 순천 자연휴양림",35.04625970,127.47727360,"전남 순천시 서면 청소년수련원길 170 (운평리, 순천자연휴양림)",BN,...
BNBN0206,"울산 울주군 서생구동지역",35.34560680,129.29321470,"울산 울주군 서생면 화산리 1235-5",BN,...
BNBN0207,"충남 예산 예산교육지원청",36.68976960,126.83166970,"충남 예산군 예산읍 역전로126번길 14 (산성리, 충청남도예산교육청)",BN,...
BNBN0208,"강원 철원 동송전통시장 주차장",38.20735030,127.22028690,"강원특별자치도 철원군 동송읍 이평리 684-22",BN,...
BNBN0210,"충남 천안 천안교육지원청",36.79998800,127.10978630,"충남 천안시 서북구 광장로 239 (불당동, 충청남도 천안교육지원청)",BN,...
BNBN0211,"화성 한국교통안전공단",37.22666930,126.76773100,"경기도 화성시 송산면 삼존리 621-1",BN,...
BNBN0212,"세종 나성동 복합커뮤니티센터",36.48902000,127.26436100,"세종특별자치시 갈매로 280",BN,...
BNBN0213,"서울 성북구 시네마빌딩 주차장",37.59915990,127.01471510,"서울 성북구 아리랑로12길 4 (돈암동)",BN,...
BNBN0214,"보령 미산중학교",36.28899030,126.67658900,"충남 보령시 미산면 판미로 1462-7 (도화담리, 미산초중학교)",BN,...
BNBN0215,"논산 연무고등학교",36.13464810,127.10412140,"충남 논산시 연무읍 동안로887번길 5 (동산리, 연무고등학교,연무여자중학교)",BN,...
BNBN0216,"충남 공주 중앙소방학교",36.52225760,127.05065800,"충남 공주시 사곡면 연수단지길 90 (계실리, 국민안전교육연구단지)",BN,...
BNBN0218,"충남 논산 연무대기계공고(연무 마이스터고등학교)",36.12532300,127.10663540,"충남 논산시 연무읍 연무로 268-9 (마산리, 연무대기계공고)",BN,...
BNBN0219,"금산 진산중학교",36.14038190,127.36621220,"충남 금산군 진산면 대둔산로 413 (읍내리)",BN,...
BNBN0220,"충남 천안 오성초등학교",36.83159870,127.13046770,"충남 천안시 서북구 오성5길 23 (두정동, 오성초등학교)",BN,...
BNBN0221,"충남 천안 가온중학교",36.78755690,127.15568690,"충남 천안시 동남구 청수6로 83 (청당동, 가온중학교)",BN,...
BNBN0223,"충남 홍성 충남교육청",36.65789740,126.67757020,"충남 홍성군 홍북읍 선화로 22 (신경리, 충청남도교육청)",BN,...
BNBN0224,홍성중학교,36.60091850,126.67546890,"충남 홍성군 홍성읍 충절로 994 (고암리)",BN,...
BNBN0226,"천안 월봉고등학교",36.80435950,127.11197950,"충남 천안시 서북구 불당11로 51 (불당동, 천안월봉고등학교)",BN,...
BNBN0227,"태안 화동초등학교",36.75391520,126.32030400,"충남 태안군 태안읍 중앙로 321 (평천리, 화동초등학교)",BN,...
BNBN0228,"화성 신동초등학교",37.17463070,127.13062360,"경기 화성시 신동 산 187-1",BN,...
BNBN0229,금산여자고등학교,36.10571890,127.48415400,"충남 금산군 금산읍 인삼로 21 (아인리, 금산여자고등학교)",BN,...
BNBN0230,"천안 두정중학교",36.83631560,127.13927490,"충남 천안시 서북구 두정중1길 26 (두정동, 두정중학교)",BN,...
BNBN0231,논산내동초등학교,36.18386370,127.10207810,"충남 논산시 중앙로 192 (내동)",BN,...
BNBN0232,"천안 성환고등학교",36.92336560,127.11622400,"충남 천안시 서북구 성환읍 신방로 354 (송덕리, 성환고등학교)",BN,...
BNBN0233,"경기 화성 함백산 추모공원",37.26897490,126.91131290,"경기 화성시 매송면 서해로 2448-32 (숙곡리)",BN,...
BNBN0234,"천안 서초등학교",36.82351710,127.13964120,"충남 천안시 서북구 서부16길 27 (성정동, 천안서초등학교)",BN,...
BNBN0237,"충남 당진 신평고등학교",36.88390500,126.76104800,"충청남도 당진시 신평면 서해로 7076",BN,...
BNBN0238,"충남 천안 청당초등학교",36.77998080,127.15153940,"충남 천안시 동남구 청당2길 94 (청당동, 천안청당초등학교)",BN,...
BNBN0239,"부산 사회종합복지센터",35.19774000,129.09053600,"부산광역시 동래구 낙민로 25",BN,...
BNBN0240,"충남 태안 태안교육지원청",36.75058520,126.29603650,"충남 태안군 태안읍 원이로 28 (남문리, 충청남도태안교육청)",BN,...
BNBN0241,"천안 불당초등학교",36.80604640,127.10892240,"충남 천안시 서북구 불당4로 39-21 (불당동, 천안불당초등학교)",BN,...
BNBN0242,"천안 신안초등학교",36.81424080,127.16219480,"충남 천안시 동남구 원성25길 21 (신부동, 천안신안초등학교)",BN,...
BNBN0243,"천안 신부초등학교",36.82257300,127.16033400,"충남 천안시 동남구 터미널5길 30 (신부동, 신부초등학교)",BN,...
BNBN0244,"천안 천안인애학교",36.87928860,127.17180320,"충남 천안시 서북구 성거읍 봉주로 229 (소우리, 천안인애학교)",BN,...
BNBN0245,"아산 아산성심학교",36.77632340,126.86315110,"충남 아산시 선장면 아산만로 368 (군덕리)",BN,...
BNBN0246,"충남 서산 종합운동장",36.79746910,126.43470870,"충남 서산시 갈산동 879-16",BN,...
BNBN0247,"양산 평산동 제1공영주차장",35.37922200,129.15251010,"경남 양산시 평산동 135-1",BN,...
BNBN0248,"경남 창원 경남도로관리사업소",35.23101280,128.64601360,"경남 창원시 성산구 창원대로 454 (대원동, 도로관리사업소)",BN,...
BNBN0249,"경남 창원 경남대표도서관",35.24927800,128.68259200,"경남 창원시 의창구 사림로45번길 59 (사림동, 경남대표도서관)",BN,...
BNBN0250,"전남 여수 문수지구 도시재생뉴딜사업",34.75943300,127.70502000,"전라남도 여수시 문수북1길 38-13",BN,...
BNBN0251,"전남 순천 좌야초등학교",34.93051940,127.54491070,"전남 순천시 해룡면 좌야로 77-9 (신대리)",BN,...
BNBN0252,"전남 순천 순천여자고등학교",34.94908530,127.48312530,"전남 순천시 저전길 54 (저전동, 순천여자고등학교)",BN,...
BNBN0254,"보령 해양과학고등학교",36.31917830,126.51374280,"충남 보령시 대천항로 212 (신흑동, 대천서중학교, 충남해양과학고등학교)",BN,...
BNBN0255,"천안 서당초등학교",36.80385180,127.11397570,"충남 천안시 서북구 불당11로 63 (불당동, 천안서당초등학교)",BN,...
BNBN0256,"충남 천안 백석중학교",36.81910550,127.12180020,"충남 천안시 서북구 백석1길 56 (백석동, 백석중학교)",BN,...
BNBN0257,"서울 성북구 삼선동 공영주차장",37.58457420,127.00746950,"서울 성북구 삼선동1가 278-6",BN,...
BNBN0258,"천안 두정초등학교",36.83632120,127.14691790,"충남 천안시 서북구 두정역서1길 10 (두정동, 천안두정초등학교)",BN,...
BNBN0259,"청양 운곡초등학교",36.52452030,126.84606650,"충남 청양군 운곡면 청신로 882 (신대리, 운곡초등학교)",BN,...
BNBN0260,"전북 김제 김제시청",35.80335320,126.88060150,"전북특별자치도 김제시 중앙로 40 (서암동, 김제시청)",BN,...
BNBN0262,"전남 순천 순천교육지원청",34.94834700,127.51690800,"전라남도 순천시 연향2로 15",BN,...
BNBN0263,"충남 청양 청신여자중학교",36.44177950,126.80012870,"충남 청양군 청양읍 학사길 5-101 (벽천리, 청신여자중학교)",BN,...
BNBN0266,한반도통일미래센터,38.00281400,127.00708200,"경기도 연천군 전곡읍 남계로 408",BN,...
BNBN0267,"천안 새샘중학교",36.77613290,127.13762930,"충남 천안시 동남구 통정6로 49 (신방동, 천안새샘중학교)",BN,...
BNBN0268,"충남 계룡 용남고등학교",36.29436820,127.24492000,"충남 계룡시 신도안면 신도안1길 32 (남선리, 용남고등학교)",BN,...
BNBN0270,"중구 중구구민회관 부설주차장",37.56847950,127.00605010,"서울특별시 중구 을지로39길 40 (을지로6가, 구민회관)",BN,...
BNBN0271,"충남 천안 신대초등학교",36.83820360,127.14294000,"충남 천안시 서북구 성정두정로 130 (두정동, 신대초등학교)",BN,...
BNBN0272,"전북 정읍 정읍교육지원청",35.57145560,126.85219340,"전북 정읍시 충정로 276 (수성동, 정읍교육지원청)",BN,...
BNBN0273,"충남 천안 나사렛새꿈학교",36.79620410,127.11852610,"충남 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",BN,...
BNBN0274,"서울 강서구 등촌2-1공영주차장",37.54978000,126.86135200,"서울특별시 강서구 등촌로55길 33-16",BN,...
BNBN0275,"충남 천안 충남교육청 학생교육문화원",36.80941350,127.15683060,"충남 천안시 동남구 옛농고1길 41 (원성동, 충청남도학생교육문화원)",BN,...
BNBN0276,"대전 유성구 한국표준과학연구원",36.39190230,127.37164530,"대전 유성구 도룡동 산 28",BN,...
BNBN0277,"천안 신방중학교",36.79025860,127.12651640,"충남 천안시 동남구 신촌4로 46 (신방동, 신방중학교)",BN,...
BNBN0278,"부여 부여교육지원청",36.26942440,126.92910070,"충남 부여군 부여읍 금성로 69-10 (가탑리, 부여교육청)",BN,...
BNBN0279,"서울 금천구 독산4동 공영주차장",37.46960300,126.90441000,"서울특별시 금천구 독산로78다길 9",BN,...
BNBN0280,"충남 당진 터미널 공영주차장",36.90263620,126.64618910,"충남 당진시 밤절로 149 (수청동, 당진공영버스터미널)",BN,...
BNBN0282,"논산 대건고등학교",36.18016200,127.07448550,"충남 논산시 논산대로 119 (등화동)",BN,...
BNBN0283,"충남 보령 주산산업고등학교",36.19811900,126.63601400,"충청남도 보령시 주산면 만세운동길 58",BN,...
BNBN0284,"예산 덕산고등학교",36.66625860,126.68297210,"충남 예산군 삽교읍 예학로 138 (목리, 덕산고등학교)",BN,...
BNBN0286,"천안 불당중학교",36.80460670,127.11049680,"충남 천안시 서북구 불당11로 35 (불당동, 불당중학교)",BN,...
BNBN0288,논산여자고등학교,36.19502870,127.09233500,"충남 논산시 중앙로 325 (취암동, 논산여자고등학교)",BN,...
BNBN0289,"연천 전곡역",38.02541590,127.07111360,"경기도 연천군 전곡읍 전곡역로 75",BN,...
BNBN0290,"부산 남구 우암 부두",35.12122800,129.07724900,"부산광역시 남구 우암로 241",BN,...
BNBN0291,"천안 월봉중학교",36.80141690,127.11076420,"충남 천안시 서북구 광장로 245 (불당동, 천안월봉중학교)",BN,...
